Location,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Receiving,RB1,LV MOTOR,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,DRIVE CHAIN,DRIVE SPROCKET,DRIVEN SPROCKET,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,BELT ALIGNMENT SWITCHES,PULL CORDS,STOP BUTTONS,SOUNDER,HAND CONTROL,,,,,,,
,RB2,LV MOTOR,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,DRIVE CHAIN,DRIVE SPROCKET,DRIVEN SPROCKET,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,BELT ALIGNMENT SWITCHES,PULL CORDS,STOP BUTTONS,SOUNDER,HAND CONTROL,,,,,,,
,RC1,LV MOTOR,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,,,,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,,PULL CORDS,STOP BUTTONS,SOUNDER,HAND CONTROL,,,,,,,
,RC2,LV MOTOR,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,,,DRIVEN SPROCKET,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,,PULL CORDS,STOP BUTTONS,SOUNDER,HAND CONTROL,,,,,,,
,RB1 DCE,FAN MOTOR,DUST BAGS (NUMBER AND TYPE),PULSE AIR SOLENOIDS,STOP BUTTON,HAND CONTROL,,,,,,,,,,,,,,,,,,,
,RB2 DCE,FAN MOTOR,DUST BAGS (NUMBER AND TYPE),PULSE AIR SOLENOIDS,STOP BUTTON,HAND CONTROL,,,,,,,,,,,,,,,,,,,
,RC1 DCE1,FAN MOTOR,DUST BAGS (NUMBER AND TYPE),PULSE AIR SOLENOIDS,STOP BUTTON,HAND CONTROL,,,,,,,,,,,,,,,,,,,
,RC1 DCE2,FAN MOTOR,DUST BAGS (NUMBER AND TYPE),PULSE AIR SOLENOIDS,STOP BUTTON,HAND CONTROL,,,,,,,,,,,,,,,,,,,
,JUNCTION HOUSE ELEVATOR 1,LV MOTOR,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,,,,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,BELT ALIGNMENT SWITCHES,PULL CORDS,STOP BUTTONS,LOWER CHUTE BLOCK,UPPER CHUTE BLOCK,HAND CONTROL,,,,,,
,JUNCTION HOUSE ELEVATOR 2,LV MOTOR,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,,,,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,BELT ALIGNMENT SWITCHES,PULL CORDS,STOP BUTTONS,LOWER CHUTE BLOCK,UPPER CHUTE BLOCK,HAND CONTROL,,,,,,
